"TR10000-8"	"11-Deoxycortisol"	"Chemistry"
"TR10001-6"	"Acetylcholinesterase"	"Chemistry"
"TR10002-4"	"Acid Phosphatase"	"Chemistry"
"TR10003-2"	"Acid Phosphatase Prostatic"	"Chemistry"
"TR10004-0"	"Addis Count"	"Chemistry"
"TR10005-7"	"Adenosine Deaminase"	"Chemistry"
"TR10006-5"	"Adenosine Monophosphate Cyclic"	"Chemistry"
"TR10007-3"	"17-Hydroxycorticosteroids"	"Chemistry"
"TR10008-1"	"Corticotropin"	"Chemistry"
"TR10009-9"	"Alanine Aminotransaminase"	"Chemistry"
"TR10010-7"	"Albumin"	"Chemistry"
"TR10011-5"	"Albumin Qualitative"	"Chemistry"
"TR10012-3"	"Alcohol Fractionation"	"Chemistry"
"TR10013-1"	"Alcohol Screen"	"Chemistry"
"TR10014-9"	"Aldolase"	"Chemistry"
"TR10015-6"	"Aldosterone"	"Chemistry"
"TR10016-4"	"Alkaline Phosphatase"	"Chemistry"
"TR10017-2"	"Alkaline Phosphatase Fractionation"	"Chemistry"
"TR10018-0"	"Alpha 1-Acid Glycoprotein"	"Chemistry"
"TR10019-8"	"17-Hydroxyprogesterone"	"Chemistry"
"TR10020-6"	"Alpha Keto Acids"	"Chemistry"
"TR10021-4"	"Alpha Fetoprotein"	"Chemistry"
"TR10022-2"	"Alpha 2-Macroglobulin"	"Chemistry"
"TR10023-0"	"Alprazolam"	"Chemistry"
"TR10024-8"	"Aluminum"	"Chemistry"
"TR10025-5"	"Amikacin Peak"	"Chemistry"
"TR10026-3"	"Amikacin Random"	"Chemistry"
"TR10027-1"	"Amikacin Trough"	"Chemistry"
"TR10028-9"	"Amino Acid Nitrogen"	"Chemistry"
"TR10029-7"	"Amino Acids"	"Chemistry"
"TR10030-5"	"Amino Acids Screen"	"Chemistry"
"TR10031-3"	"Amiodarone"	"Chemistry"
"TR10032-1"	"Amitriptyline"	"Chemistry"
"TR10033-9"	"17-Ketogenic Steroids"	"Chemistry"
"TR10034-7"	"Ammonia"	"Chemistry"
"TR10035-4"	"Amniotic Fluid Analysis"	"Chemistry"
"TR10036-2"	"Amobarbital"	"Chemistry"
"TR10037-0"	"Amphetamine Screen"	"Chemistry"
"TR10038-8"	"Amylase"	"Chemistry"
"TR10039-6"	"Amylase Fractionation"	"Chemistry"
"TR10040-4"	"Androstenedione"	"Chemistry"
"TR10041-2"	"Angiotensin Converting Enzyme"	"Chemistry"
"TR10042-0"	"Vasopressin"	"Chemistry"
"TR10043-8"	"Antimony"	"Chemistry"
"TR10044-6"	"17-Ketosteroids"	"Chemistry"
"TR10045-3"	"Apolipoprotein A I"	"Chemistry"
"TR10046-1"	"Apolipoprotein B"	"Chemistry"
"TR10047-9"	"Apolipoprotein C III"	"Chemistry"
"TR10048-7"	"Apolipoprotein E"	"Chemistry"
"TR10049-5"	"Arsenic"	"Chemistry"
"TR10050-3"	"Ascorbate"	"Chemistry"
"TR10051-1"	"Aspartate Aminotransferase"	"Chemistry"
"TR10052-9"	"Barbiturates Fractionation"	"Chemistry"
"TR10053-7"	"Barbiturates Screen"	"Chemistry"
"TR10054-5"	"Barium"	"Chemistry"
"TR10055-2"	"17-Ketosteroids Fractionated"	"Chemistry"
"TR10056-0"	"Benzodiazepine Screen"	"Chemistry"
"TR10057-8"	"Benztropine"	"Chemistry"
"TR10058-6"	"Beryllium"	"Chemistry"
"TR10059-4"	"Beta Transferrin"	"Chemistry"
"TR10060-2"	"Beta 2-Microglobulin"	"Chemistry"
"TR10061-0"	"Beta Hydroxybutyrate"	"Chemistry"
"TR10062-8"	"Beta n-Acetylhexosaminidase"	"Chemistry"
"TR10063-6"	"Bile Acid"	"Chemistry"
"TR10064-4"	"Bile Microscopy"	"Chemistry"
"TR10065-1"	"Bilirubin"	"Chemistry"
